epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
102,607.201,0.94133,0.63548,1.11798,0.9432,0.93101,0.97391,0.63101,1.29307,0.576,1.34387,0.000454545,0.000454545,0.000454545
103,612.564,0.92679,0.62296,1.11228,0.92161,0.92891,0.96346,0.61785,1.28848,0.60004,1.34677,0.000450046,0.000450046,0.000450046
104,618.094,0.93822,0.63921,1.12078,0.93008,0.93146,0.96761,0.62537,1.26453,0.59213,1.30254,0.000445546,0.000445546,0.000445546
105,623.976,0.9574,0.64998,1.12366,0.94751,0.92293,0.96969,0.62351,1.28338,0.57919,1.33393,0.000441047,0.000441047,0.000441047
106,629.659,0.93461,0.63015,1.11759,0.9494,0.95611,0.97451,0.61615,1.32823,0.56005,1.37458,0.000436547,0.000436547,0.000436547
107,635.403,0.91541,0.61384,1.10891,0.92286,0.94424,0.96878,0.62267,1.29276,0.57359,1.33126,0.000432048,0.000432048,0.000432048
108,640.771,0.91811,0.6157,1.09504,0.92274,0.90959,0.96144,0.61019,1.30484,0.61237,1.31948,0.000427548,0.000427548,0.000427548
109,646.385,0.91786,0.62304,1.09708,0.93862,0.94372,0.97486,0.61733,1.31173,0.57081,1.36584,0.000423049,0.000423049,0.000423049
110,652.263,0.91306,0.59823,1.09393,0.93774,0.96927,0.97959,0.63172,1.29245,0.5396,1.34504,0.000418549,0.000418549,0.000418549
111,658.268,0.91609,0.62691,1.10176,0.92727,0.93985,0.95637,0.61725,1.27215,0.55857,1.32647,0.000414049,0.000414049,0.000414049
112,663.609,0.92309,0.62102,1.11416,0.93395,0.93146,0.96747,0.62997,1.25696,0.59069,1.31903,0.00040955,0.00040955,0.00040955
113,668.937,0.90551,0.64428,1.10431,0.9411,0.92927,0.97515,0.6426,1.25519,0.56398,1.31524,0.00040505,0.00040505,0.00040505
114,674.268,0.91746,0.63597,1.10788,0.95634,0.95118,0.97931,0.63969,1.2716,0.52954,1.34174,0.000400551,0.000400551,0.000400551
115,679.615,0.90507,0.61778,1.09156,0.92963,0.95052,0.98346,0.61811,1.30344,0.54626,1.36805,0.000396051,0.000396051,0.000396051
116,684.998,0.90196,0.60243,1.08381,0.93075,0.90949,0.96717,0.61818,1.30495,0.60147,1.36217,0.000391552,0.000391552,0.000391552
117,690.353,0.89854,0.60179,1.09674,0.95837,0.94443,0.97688,0.63222,1.27736,0.54548,1.35132,0.000387052,0.000387052,0.000387052
118,696.341,0.90663,0.61035,1.099,0.94541,0.92985,0.96928,0.61637,1.31486,0.56274,1.37906,0.000382553,0.000382553,0.000382553
119,702.075,0.88243,0.58529,1.08119,0.90232,0.96412,0.97568,0.62414,1.31973,0.55769,1.37149,0.000378053,0.000378053,0.000378053
120,709.173,0.90662,0.59771,1.09131,0.93684,0.96224,0.97459,0.64199,1.27116,0.54462,1.32694,0.000373554,0.000373554,0.000373554
121,716.605,0.87068,0.60943,1.09196,0.92952,0.93539,0.97597,0.64048,1.26254,0.55607,1.34229,0.000369054,0.000369054,0.000369054
122,724.421,0.89135,0.59836,1.09119,0.91497,0.97078,0.97713,0.63159,1.28553,0.55217,1.35494,0.000364554,0.000364554,0.000364554
123,731.038,0.88247,0.60057,1.0939,0.93106,0.94163,0.9745,0.6137,1.33071,0.58234,1.37448,0.000360055,0.000360055,0.000360055
124,738.525,0.87918,0.59027,1.08462,0.92616,0.93973,0.96391,0.6179,1.29713,0.5621,1.34766,0.000355555,0.000355555,0.000355555
125,745.041,0.8581,0.5767,1.06777,0.93381,0.94312,0.97574,0.63496,1.28036,0.57216,1.35816,0.000351056,0.000351056,0.000351056
126,751.224,0.8857,0.58828,1.08368,0.93039,0.92674,0.95685,0.61638,1.28371,0.58973,1.36348,0.000346556,0.000346556,0.000346556
127,757.969,0.88803,0.59033,1.09247,0.95882,0.96623,0.97899,0.62493,1.29053,0.53206,1.36796,0.000342057,0.000342057,0.000342057
128,765.19,0.85754,0.59444,1.07129,0.95609,0.9587,0.97819,0.62642,1.31084,0.54835,1.36779,0.000337557,0.000337557,0.000337557
129,771.472,0.86048,0.5804,1.07748,0.90963,0.94358,0.97496,0.63089,1.27754,0.57135,1.3621,0.000333058,0.000333058,0.000333058
130,777.854,0.86016,0.57461,1.07061,0.94839,0.91532,0.97083,0.62435,1.28154,0.57221,1.37018,0.000328558,0.000328558,0.000328558
131,784.073,0.85548,0.58205,1.07128,0.93895,0.9498,0.98105,0.64619,1.28659,0.53573,1.36667,0.000324058,0.000324058,0.000324058
132,790.025,0.87525,0.57746,1.07399,0.94023,0.92243,0.96974,0.63627,1.26592,0.56445,1.33598,0.000319559,0.000319559,0.000319559
133,795.817,0.85709,0.58021,1.06702,0.96617,0.94642,0.97466,0.6346,1.27299,0.52978,1.34983,0.000315059,0.000315059,0.000315059
134,801.686,0.8388,0.56385,1.06582,0.92038,0.96971,0.97514,0.63774,1.2821,0.53131,1.35381,0.00031056,0.00031056,0.00031056
135,807.533,0.85921,0.60339,1.07662,0.95053,0.93664,0.97824,0.63213,1.28923,0.5324,1.36332,0.00030606,0.00030606,0.00030606
136,813.475,0.84682,0.57064,1.07338,0.92672,0.95545,0.97341,0.6322,1.2826,0.54373,1.36245,0.000301561,0.000301561,0.000301561
137,819.248,0.85679,0.5907,1.08273,0.95561,0.9424,0.98081,0.62949,1.30673,0.55347,1.39346,0.000297061,0.000297061,0.000297061
138,824.907,0.83636,0.56095,1.06231,0.93787,0.95707,0.9782,0.63798,1.28184,0.54137,1.35417,0.000292562,0.000292562,0.000292562
